058bg5avh6o8j4et8vuvlv4d3ip1q08j.tattoo.	900	in	rrsig	NSEC3 13 2 900 20250908081232 20250825073505 58469 tattoo. NV703vTWlTjnG2mwYOoDnL1v1FuJOP0MBjlmBQxfD5gmN6oEjet5iQgzBshmzSp94ZS/cEoOUKwIomf5cgDvuQ==
06097077.tattoo.	3600	in	ds	10263 13 2 491899ADDC7438783D56512534249997DC9984332C59ADC729DB24DD0654105A
06097077.tattoo.	3600	in	ns	launch1.spaceship.net.
06097077.tattoo.	3600	in	ns	launch2.spaceship.net.
06097077.tattoo.	3600	in	rrsig	DS 13 2 3600 20250909161132 20250826160340 58469 tattoo. 8opww4WdZ6Fcy70uavIFgFZZQgsGUqT7WCWqryylues0/tcpdkaPLWQiye2Fa3DcMEttWobf/n4Tpt2pakoacg==
060ktr4tqqf68kh475fjjksahj1gcmf2.tattoo.	900	in	nsec3	1 1 0 - 07290KT2B3PPUH84BD92G3C74SL9JJMI NS DS RRSIG
060ktr4tqqf68kh475fjjksahj1gcmf2.tattoo.	900	in	rrsig	NSEC3 13 2 900 20250908140954 20250825135436 58469 tattoo. sI9P90DMoqVRSSEDDGNEqgUGClCzdZ2NC1FdbZHSCM6DIvczyO0jCu40//Q0EKi8km/PS+n5siwEYjddYr7Jzw==
06629941.tattoo.	3600	in	ds	12147 13 2 254B46CA262A3EBF61701AEA47B665BCCE32320FF2E3334D378CC3063D78343E
06629941.tattoo.	3600	in	ns	launch1.spaceship.net.
06629941.tattoo.	3600	in	ns	launch2.spaceship.net.
06629941.tattoo.	3600	in	rrsig	DS 13 2 3600 20250904074752 20250821072926 58469 tattoo. ElbtTj4Zo8txNGD8+VaUTfZZlv3E3/z0PUSIpu8KOpKSqP1AA+rOSrrjlySawMs49OXiMZBGRcJIoeNlkAG/gw==
06653407519.tattoo.	3600	in	ns	launch1.spaceship.net.
06653407519.tattoo.	3600	in	ns	launch2.spaceship.net.
06705330.tattoo.	3600	in	ds	61289 13 2 F16D5D07642153DE215FFAD1E44ABB38CC5A54DCD5340FB06FAC2F53764F0B25
06705330.tattoo.	3600	in	ns	launch1.spaceship.net.
06705330.tattoo.	3600	in	ns	launch2.spaceship.net.
06705330.tattoo.	3600	in	rrsig	DS 13 2 3600 20250904074752 20250821072926 58469 tattoo. ymNyZwpk3wPyr+hlsdn9mS+CUS4hWSrwYl39Wge+ZPMEU/KUBAYaWiTL26Z5GV9IUzRzyBRcR6hBBNqbPDuw3Q==
06708170.tattoo.	3600	in	ds	65526 13 2 AD9865A6D86EB2B0E480D3886EE9C0F1CF065D9A5E4B3C11D63ABCC41AE84327
06708170.tattoo.	3600	in	ns	launch1.spaceship.net.
06708170.tattoo.	3600	in	ns	launch2.spaceship.net.
06708170.tattoo.	3600	in	rrsig	DS 13 2 3600 20250909161132 20250826160340 58469 tattoo. JuBQADBlJGur7SOg2PYWu4oBI0indLqLCxkZCbKaFYjCcjw5qByEq0R5puFvtSmuFwiv7ehuqn0NRTcP63pu0Q==
06772088.tattoo.	3600	in	ds	29598 13 2 D57032EC17A894954EDC3FAB45E7A23F55CFA0BE243798502FA3E0F153C10138
06772088.tattoo.	3600	in	ns	launch1.spaceship.net.
06772088.tattoo.	3600	in	ns	launch2.spaceship.net.
06772088.tattoo.	3600	in	rrsig	DS 13 2 3600 20250909161132 20250826160340 58469 tattoo. EESX8ZOgeKyWkDa5SqUzszsFJQFZ7UJIMhmTbGKd9ahnSPQFOMEPetm8nbVySROHAXT/gmMOF3gp7hnMqp4a3g==
06833087.tattoo.	3600	in	ds	55905 13 2 58C88AD4896E64B949B8FAA263DE14BC3874029BDAFE92E69BA4E59945E11A07
06833087.tattoo.	3600	in	ns	launch1.spaceship.net.
06833087.tattoo.	3600	in	ns	launch2.spaceship.net.
06833087.tattoo.	3600	in	rrsig	DS 13 2 3600 20250909161132 20250826160340 58469 tattoo. CqmFzicetf4dGZgm3/zbIC6PoRE1Rb/6LeC0isp15x9K6QBe4tpY64pouDjWzZclOjuuuVf+ixGll2J9lSk4LA==
07030489.tattoo.	3600	in	ds	22967 13 2 5F735C8FBAC69F177149D969A7608E996CB14185A88ABDE89AB2D7565F9AC23C
07030489.tattoo.	3600	in	ns	launch1.spaceship.net.
07030489.tattoo.	3600	in	ns	launch2.spaceship.net.
07030489.tattoo.	3600	in	rrsig	DS 13 2 3600 20250904074752 20250821072926 58469 tattoo. MFGbNll51nSngMx7DaVoz1pdWSCbvKvsJx8g995VubN6gWFTEQk+j6/3L1M85s8VPVUF2MIGOsWaYsXPKtLOwA==
07236523.tattoo.	3600	in	ds	54465 13 2 31B05C10EB7DFEDD3950EBF2B7A373E6100EB601DF22DE883046C88CF115A778
07236523.tattoo.	3600	in	ns	launch1.spaceship.net.
07236523.tattoo.	3600	in	ns	launch2.spaceship.net.
07236523.tattoo.	3600	in	rrsig	DS 13 2 3600 20250909161132 20250826160340 58469 tattoo. kAD+i8lpQ6Xrvt9WcPNSKUdZpLD0v37l9yaev89geWTN5h4uIPlRHBB6NkM56d7DS2XC9/WfIT4kSVXR1868Eg==
07290kt2b3ppuh84bd92g3c74sl9jjmi.tattoo.	900	in	nsec3	1 1 0 - 07UI2G8GIRNSV35HMJBDFQ96INHFNLEG NS DS RRSIG
