59103.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
59104.xn--tckwe.	172800	in	ns	n1.xundns.com.
59104.xn--tckwe.	172800	in	ns	n2.xundns.com.
59106.xn--tckwe.	172800	in	ns	n1.xundns.com.
59106.xn--tckwe.	172800	in	ns	n2.xundns.com.
59547951.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
59547951.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
5hgd16bb.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
5hgd16bb.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
5pn36bn.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
5pn36bn.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
5r65d3l.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
5r65d3l.xn--tckwe.	172800	in	ns	ns2.dyna-ns.net.
6013141.xn--tckwe.	172800	in	ns	ns1.dyna-ns.net.
