07l89ebomc2uc7nlg36ct1ielb8l6cg6.wtf.	3600	in	nsec3	1 1 0 73 07VC445JJJ6ENM9Q4OP9IB94I5EKU5P2 NS DS RRSIG
07l89ebomc2uc7nlg36ct1ielb8l6cg6.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260207151729 20260117141729 17028 wtf. b9AutCyMtZ2leOpHU5KOYuPxVgvJuI4HZULhXv1+JfRZXxH0oyKNDOL2HCz3FkSJVRp9xY01bGBTHy8OG+xwT87pD5SIDo83iy+2R9++Ah5+FayTgvrzUtobr2UoDRztIIoPqdXwA6u5BI/PnxulDeTBPGvj3FzardMlVXwaMNU=
07vc445jjj6enm9q4op9ib94i5eku5p2.wtf.	3600	in	nsec3	1 1 0 73 088TBHFVO9RANG1NLIRFB2I66HRBDUSK NS DS RRSIG
07vc445jjj6enm9q4op9ib94i5eku5p2.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260207151729 20260117141729 17028 wtf. T3LCLSAufRWPpcJYQmzmao+DRwJNqhD7iE4Kc8BaUWlcjtfSDbzo5ZCKpkO3vZrjZIJTF9N72SCWkhkN0plDKTFvJBd2dDSDvd3OHOWy02IIVVbl5o8haa/rLos6vvfdWU098FK8jjQKe+OA1XjEKBuMUdJJ8L1SEpt2tHLZGyw=
08.wtf.	3600	in	ns	ns3.myhostadmin.net.
08.wtf.	3600	in	ns	ns4.myhostadmin.net.
0800flowers.wtf.	3600	in	ns	dns1.cscdns.net.
0800flowers.wtf.	3600	in	ns	dns2.cscdns.net.
0815.wtf.	3600	in	ns	docks13.rzone.de.
0815.wtf.	3600	in	ns	shades19.rzone.de.
088tbhfvo9rang1nlirfb2i66hrbdusk.wtf.	3600	in	nsec3	1 1 0 73 08I3AAIMOA2TQT67EROMHMT1I2FT1C5K NS DS RRSIG
088tbhfvo9rang1nlirfb2i66hrbdusk.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260207151729 20260117141729 17028 wtf. SFRsLz8Ud0eyleCV60DnHmiLrmGUiF6d8E3W9Q1KZ7X0DuD0/kWdLagATvmW85+UhizmCqJ35gsvQqwi7QpHpKeyBJRLYMadudmsWmPbQdXet3v4V5RPWZKM5IRVKj33nB2nh24dCon/gHpysGLTJEszRIZrPlerr3Xf/NMuCcs=
089.wtf.	3600	in	ns	n1.xundns.com.
089.wtf.	3600	in	ns	n2.xundns.com.
08i3aaimoa2tqt67eromhmt1i2ft1c5k.wtf.	3600	in	nsec3	1 1 0 73 08MCNBFR66SGR4KUG6EBO2JN56HKOKQK NS DS RRSIG
08i3aaimoa2tqt67eromhmt1i2ft1c5k.wtf.	3600	in	rrsig	NSEC3 8 2 3600 20260207151729 20260117141729 17028 wtf. CzclyxHgGwD8NZygqud8znEstFzYyY7cYef2svRSkxHNn3CnxjK5TSI4KUa4XkNAiTJ3Ve6rhWlIC7f7S6HMdH8FbFbez34IrrPmZYp745Tdxz3goUSYYp1CiMxx/MdxxzOf/ZGUuvDfbMkjjr9CxAitKbKdK0GXbnT1ODbRZCo=
08mcnbfr66sgr4kug6ebo2jn56hkokqk.wtf.	3600	in	nsec3	1 1 0 73 08P7HN66NVL4MJOA0IR6IDK4KA2J3KRM NS DS RRSIG
